id,name,gender,productname,category,quantity,totalprice,tax,netpric
1,adhya,f,laptop,E,1,50000,50000,9000,59000
2,john,m,smartphone,E,2,20000,40000,7200,47200
3,rakshi,f,refrigerator,E,5,30000,30000,5400,35400
4,yashu,m,sandwich,F,5,200,1000,50,1050
5,punya,f,microwave,E,1,8000,8000,1440,9440
6,sandeep,m,laptop,E,1,60000,60000,10800,70800
7,pavi,f,jacket,C,2,1500,3000,450,3450
8,chandu,f,camera,E,1,25000,25000,4500,29500
9,harshi,m,pizza,F,3,500,1500,75,1575
10,priya,m,television,E,1,40000,40000,7200,47200
11,lucy,f,shoes,C,2,2000,4000,600,4600
12,ethan,m,tablet,E,1,55000,55000,9900,64900
13,lily,f,sandwich,F,1,300,600,30,630
14,arun,m,t-shirt,C,3,1000,3000,450,3450
15,ananya,f,tablet,E,1,20000,20000,3600,23600
