id,name,gender,branch,s1,s2,s3,s4,s5,s6,totalmarks,average,grade
1,pavi,f,CS,96,98,98,99,90,98,579,96.5,distinction
2,diya,f,ME,76,98,87,98,75,53,487,81.16666666666667,distinction
3,anil,m,ME,65,12,34,43,23,21,198,33.0,faile
4,akash,m,CS,78,9,90,85,92,76,430,71.66666666666667,faile
5,neha,f,EE,88,7,92,85,89,91,452,75.33333333333333,faile
6,rohan,m,CS,65,82,73,79,80,85,464,77.33333333333333,distinction
7,komal,f,IT,89,65,92,91,78,85,500,83.33333333333334,distinction
8,saurav,m,EC,72,80,35,74,67,90,418,69.66666666666667,firstclass
9,ravi,m,CS,95,92,91,93,89,90,550,91.66666666666666,distinction
10,sheetal,f,CS,72,78,69,75,65,68,427,71.16666666666667,firstclass
11,karan,m,ME,60,65,52,54,60,58,349,58.166666666666664,secondclass
12,ananya,f,CS,84,91,88,92,83,86,524,87.33333333333333,distinction
13,manoj,m,EE,35,72,78,81,70,69,405,67.5,firstclass
14,harini,f,EC,9,45,94,03,92,90,333,55.50000000000001,faile
15,vikas,m,IT,65,66,70,64,63,68,396,66.0,firstclass
16,divya,f,ME,79,75,72,80,82,90,478,79.66666666666666,distinction
17,arvind,m,CS,89,91,87,92,91,93,543,90.5,distinction
18,deepa,f,EE,36,40,35,38,38,73,260,43.333333333333336,thirdclass
19,jai,m,IT,82,0,79,88,80,83,412,68.66666666666667,faile
20,shweta,f,ME,71,79,85,82,74,76,467,77.83333333333333,distinction
21,pankaj,m,EC,77,9,80,79,82,76,403,67.16666666666666,faile
22,simran,f,CS,80,83,85,84,79,75,486,81.0,distinction
23,shyam,m,ME,72,68,75,77,65,70,427,71.16666666666667,firstclass
24,neelam,f,IT,60,55,65,67,59,60,366,61.0,firstclass
25,umesh,m,EE,80,85,80,87,91,94,517,86.16666666666667,distinction
26,priya,f,EC,38,3,85,90,43,55,314,52.33333333333333,faile
27,manish,m,CS,73,09,72,74,68,70,366,61.0,faile
28,pranav,m,ME,44,46,49,40,35,87,301,50.16666666666667,secondclass
29,tanya,f,CS,35,98,36,93,51,88,401,66.83333333333333,firstclass
30,harsh,m,IT,66,60,55,64,63,68,376,62.66666666666667,firstclass
