id,name,gender,branch,s1,s2,s3,s4,s6
1,pavi,f,CS,96,98,98,99,90,98
2,diya,f,ME,76,98,87,98,75,53
3,anil,m,ME,65,12,34,43,23,21
4,akash,m,CS,78,9,90,85,92,76
5,neha,f,EE,88,7,92,85,89,91
6,rohan,m,CS,65,82,73,79,80,85
7,komal,f,IT,89,65,92,91,78,85
8,saurav,m,EC,72,80,35,74,67,90
9,ravi,m,CS,95,92,91,93,89,90
10,sheetal,f,CS,72,78,69,75,65,68
11,karan,m,ME,60,65,52,54,60,58
12,ananya,f,CS,84,91,88,92,83,86
13,manoj,m,EE,35,72,78,81,70,69
14,harini,f,EC,9,45,94,03,92,90
15,vikas,m,IT,65,66,70,64,63,68
16,divya,f,ME,79,75,72,80,82,90
17,arvind,m,CS,89,91,87,92,91,93
18,deepa,f,EE,36,40,35,38,38,73
19,jai,m,IT,82,0,79,88,80,83
20,shweta,f,ME,71,79,85,82,74,76
21,pankaj,m,EC,77,9,80,79,82,76
22,simran,f,CS,80,83,85,84,79,75
23,shyam,m,ME,72,68,75,77,65,70
24,neelam,f,IT,60,55,65,67,59,60
25,umesh,m,EE,80,85,80,87,91,94
26,priya,f,EC,38,3,85,90,43,55
27,manish,m,CS,73,09,72,74,68,70
28,pranav,m,ME,44,46,49,40,35,87
29,tanya,f,CS,35,98,36,93,51,88
30,harsh,m,IT,66,60,55,64,63,68
